,Unnamed: 0,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand,p_in_diff
12539,11,783.0,0.5155555555555555,5.5,-6.25,5.5,0.0,-0.2497713989767263,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12540,12,783.0,0.5616666666666666,5.5,-5.0,5.5,0.0,2.6224656736154763,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12541,13,783.0,0.6077777777777778,5.5,-3.75,5.5,0.0,-1.0783263178345548,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12542,14,783.0,0.6538888888888889,5.5,-2.5,5.5,0.0,-1.8896960884417149,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12543,15,783.0,0.7,5.5,-1.25,5.5,0.0,1.1381200967642302,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12544,0,784.0,0.008333333333333333,-5.5,-20.0,-5.5,0.0,2.7029026087241017,0.0,4.0,-4.0,0.0,2.7029026087241017,2.7029026087241017,correct_reject,0.0,0.0
12545,1,784.0,0.054444444444444434,-5.5,-18.75,-5.5,0.0,-1.5800624576122724,0.0,4.0,-4.0,0.0,2.7029026087241017,-1.5800624576122724,correct_reject,0.0,0.0
12546,2,784.0,0.10055555555555556,-5.5,-17.5,-5.5,0.0,3.643626650751013,0.0,4.0,-4.0,0.0,3.643626650751013,-1.5800624576122724,correct_reject,0.0,0.0
12547,3,784.0,0.14666666666666667,-5.5,-16.25,-5.5,0.0,-2.692020588529468,0.0,4.0,-4.0,0.0,3.643626650751013,-2.692020588529468,correct_reject,0.0,0.0
12548,4,784.0,0.19277777777777774,-5.5,-15.0,-5.5,0.0,-2.432329848666442,0.0,4.0,-4.0,0.0,3.643626650751013,-2.692020588529468,correct_reject,0.0,0.0
12549,5,784.0,0.2388888888888889,-5.5,-13.75,-5.5,0.0,-3.246583507713175,0.0,4.0,-4.0,0.0,3.643626650751013,-3.246583507713175,correct_reject,0.0,0.0
12550,6,784.0,0.28500000000000003,-5.5,-12.5,-5.5,0.0,-3.993783330243067,0.0,4.0,-4.0,0.0,3.643626650751013,-3.993783330243067,correct_reject,0.0,0.0
12551,7,784.0,0.33111111111111113,-5.5,-11.25,-5.5,0.0,-2.337938417732176,0.0,4.0,-4.0,0.0,3.643626650751013,-3.993783330243067,correct_reject,0.0,0.0
12552,8,784.0,0.37722222222222224,-5.5,-10.0,-5.5,0.0,-3.481484890555309,0.0,4.0,-4.0,0.0,3.643626650751013,-3.993783330243067,correct_reject,0.0,0.0
12553,9,784.0,0.4233333333333333,-5.5,-8.75,-5.5,0.0,-1.3101182955695228,0.0,4.0,-4.0,0.0,3.643626650751013,-3.993783330243067,correct_reject,0.0,0.0
12554,10,784.0,0.4694444444444445,-5.5,-7.5,-5.5,0.0,2.9159306398663034,0.0,4.0,-4.0,0.0,3.643626650751013,-3.993783330243067,correct_reject,0.0,0.0
